COMMON_NAME,SPECIES_CODE
Pygmy Longbill,pyghon1
Whitehead,whiteh1
Yellowhead,yellow3
Pipipi,pipipi1
Tit Berrypecker,titber1
Crested Berrypecker,creber1
North Island Kokako,kokako3
South Island Kokako,kokako4
North Island Saddleback,saddle2
South Island Saddleback,saddle3
Huia,huia1
Stitchbird,stitch1
Papuan Whipbird,papwhi1
Eastern Whipbird,easwhi1
Western Whipbird,weswhi1
Chiming Wedgebill,chiwed1
Chirruping Wedgebill,chiwed2
Spotted Quail-thrush,spqthr1
Chestnut Quail-thrush,chequt1
Copperback Quail-thrush,copqut1
Chestnut-breasted Quail-thrush,cbqthr1
Western Quail-thrush,chbqut1
Cinnamon Quail-thrush,ciqthr1
Nullarbor Quail-thrush,nulqut1
Painted Quail-thrush,paqthr1
Spotted Jewel-babbler,spjbab1
Blue Jewel-babbler,bljbab1
Chestnut-backed Jewel-babbler,cbjbab1
White-tailed Shrike,whtshr1
Brown-throated Wattle-eye,btweye2
White-fronted Wattle-eye,wfweye1
Black-throated Wattle-eye,btweye1
Banded Wattle-eye,baweye1
Chestnut Wattle-eye,chweye1
West African Wattle-eye,weawae1
White-spotted Wattle-eye,wsweye1
Red-cheeked Wattle-eye,rcweye1
Black-necked Wattle-eye,bnweye1
Jameson's Wattle-eye,jaweye1
Yellow-bellied Wattle-eye,ybweye1
Boulton's Batis,boubat1
Short-tailed Batis,shtbat1
Dark Batis,darbat1
Ruwenzori Batis,ruwbat1
Cape Batis,capbat1
Woodward's Batis,woobat1
Chinspot Batis,chibat1
Pale Batis,palbat1
Pririt Batis,pribat1
Senegal Batis,senbat1
Gray-headed Batis,gyhbat1
Black-headed Batis,blhbat1
Pygmy Batis,pygbat1
Verreaux's Batis,verbat1
Ituri Batis,itubat1
Bioko Batis,fepbat1
West African Batis,weabat1
Angola Batis,angbat1
White Helmetshrike,whihel1
Gray-crested Helmetshrike,gychel1
Yellow-crested Helmetshrike,yechel1
Red-billed Helmetshrike,chbhel1
Rufous-bellied Helmetshrike,rubhel1
Retz's Helmetshrike,rethel1
Angola Helmetshrike,anghel1
Chestnut-fronted Helmetshrike,chfhel1
African Shrike-flycatcher,afrshf1
Black-and-white Shrike-flycatcher,bawfly1
Malabar Woodshrike,malwoo1
Large Woodshrike,larwoo1
Common Woodshrike,comwoo1
Sri Lanka Woodshrike,srlwoo1
Bar-winged Flycatcher-shrike,bwfshr1
Black-winged Flycatcher-shrike,bwfshr2
Rufous-winged Philentoma,ruwphi2
Maroon-breasted Philentoma,mabphi2
Archbold's Newtonia,arcnew1
Common Newtonia,comnew1
Dark Newtonia,darnew1
Red-tailed Newtonia,retnew1
Tylas Vanga,tylvan1
Red-tailed Vanga,retvan1
Red-shouldered Vanga,resvan1
Nuthatch-Vanga,nuthat2
Chabert Vanga,chavan2
Crossley's Vanga,crobab1
Blue Vanga,bluvan1
Hook-billed Vanga,hobvan1
Ward's Flycatcher,warfly1
Rufous Vanga,rufvan1
Helmet Vanga,helvan1
Bernier's Vanga,bervan1
Sickle-billed Vanga,sibvan1
White-headed Vanga,whhvan1
Pollen's Vanga,polvan1
Lafresnaye's Vanga,lafvan1
Van Dam's Vanga,vadvan1
Brubru,brubru1
Northern Puffback,norpuf1
Pringle's Puffback,pripuf1
Black-backed Puffback,blbpuf2
Red-eyed Puffback,reepuf1
Pink-footed Puffback,pifpuf1
Sabine's Puffback,labpuf1
Marsh Tchagra,martch2
Black-crowned Tchagra,bkctch1
Brown-crowned Tchagra,brctch1
Three-streaked Tchagra,thstch1
Southern Tchagra,soutch1
Red-naped Bushshrike,renbus1
Coastal Boubou,sombou1
Lühder's Bushshrike,luebus1
Braun's Bushshrike,brabus1
Gabela Bushshrike,gabbus1
Turati's Boubou,turbou1
Ethiopian Boubou,trobou2
Tropical Boubou,trobou1
Zanzibar Boubou,zanbou1
Gabon Boubou,gabbou1
Southern Boubou,soubou1
Yellow-crowned Gonolek,comgon1
Black-headed Gonolek,blhgon1
Crimson-breasted Gonolek,crbgon1
Papyrus Gonolek,papgon1
Yellow-breasted Boubou,yebbou1
Slate-colored Boubou,slcbou1
Lowland Sooty Boubou,soobou1
Willard's Sooty Boubou,wisbou1
Mountain Sooty Boubou,mosbou1
Fülleborn's Boubou,fuebou1
Rosy-patched Bushshrike,ropbus1
Bokmakierie,bokmak1
Gray-green Bushshrike,gygbus1
Sulphur-breasted Bushshrike,subbus1
Olive Bushshrike,olibus1
Many-colored Bushshrike,macbus2
Black-fronted Bushshrike,blfbus1
Mount Kupe Bushshrike,mtkbus1
Four-colored Bushshrike,focbus2
Doherty's Bushshrike,dohbus1
Fiery-breasted Bushshrike,fibbus1
Lagden's Bushshrike,lagbus1
Green-breasted Bushshrike,grbbus1
Gray-headed Bushshrike,gyhbus1
Monteiro's Bushshrike,monbus1
Uluguru Bushshrike,ulubus1
Black-breasted Boatbill,blbboa1
Yellow-breasted Boatbill,yebboa1
Ashy Woodswallow,ashwoo2
Fiji Woodswallow,fijwoo1
Ivory-backed Woodswallow,whbwoo8
Great Woodswallow,grewoo1
White-breasted Woodswallow,whbwoo4
Bismarck Woodswallow,biswoo1
Masked Woodswallow,maswoo1
White-browed Woodswallow,whbwoo5
Black-faced Woodswallow,blfwoo1
Dusky Woodswallow,duswoo1
Little Woodswallow,litwoo4
Mountain Peltops,moupel1
Lowland Peltops,lowpel1
Black-backed Butcherbird,blbbut1
Gray Butcherbird,grybut1
Silver-backed Butcherbird,sibbut1
Hooded Butcherbird,hoobut1
Tagula Butcherbird,tagbut1
Pied Butcherbird,piebut1
Black Butcherbird,blabut1
Australian Magpie,ausmag2
Pied Currawong,piecur1
Black Currawong,blacur2
Gray Currawong,grycur1
Bornean Bristlehead,borbri1
Common Iora,comior1
White-tailed Iora,whtior1
Green Iora,greior2
Great Iora,greior1
White-bellied Minivet,whbmin1
Fiery Minivet,fiemin1
Small Minivet,smamin1
Gray-chinned Minivet,gycmin1
Sunda Minivet,sunmin1
Short-billed Minivet,shbmin2
Flores Minivet,flomin1
Long-tailed Minivet,lotmin1
Orange Minivet,scamin3
Scarlet Minivet,scamin1
Ryukyu Minivet,ryumin1
Ashy Minivet,ashmin1
Brown-rumped Minivet,brrmin1
Rosy Minivet,rosmin1
Ashy Cuckooshrike,ashcus1
Grauer's Cuckooshrike,gracus1
Gray Cuckooshrike,grycus1
White-breasted Cuckooshrike,whbcus2
Stout-billed Cuckooshrike,stbcus1
Hooded Cuckooshrike,hoocus1
Pied Cuckooshrike,piecus1
Cerulean Cuckooshrike,cercus1
Ground Cuckooshrike,grocus1
Barred Cuckooshrike,yeecus1
Boyer's Cuckooshrike,boycus1
Black-faced Cuckooshrike,bkfcus1
North Melanesian Cuckooshrike,melcus3
White-bellied Cuckooshrike,whbcus1
Moluccan Cuckooshrike,molcus1
Manus Cuckooshrike,whbcus4
South Melanesian Cuckooshrike,melcus1
Large Cuckooshrike,larcus1
Bar-bellied Cuckooshrike,babcus1
Andaman Cuckooshrike,andcus1
Sunda Cuckooshrike,suncus1
Javan Cuckooshrike,javcus1
Wallacean Cuckooshrike,walcus1
Buru Cuckooshrike,burcus1
White-rumped Cuckooshrike,whrcus1
Slaty Cuckooshrike,slacus1
Ghana Cuckooshrike,ghacus1
Oriole Cuckooshrike,oricus1
Black Cuckooshrike,blkcus1
Petit's Cuckooshrike,petcus1
Red-shouldered Cuckooshrike,rescus1
Purple-throated Cuckooshrike,putcus1
Golden Cuckooshrike,golcus1
McGregor's Cuckooshrike,mcgcus1
Polynesian Triller,poltri1
Samoan Triller,samtri1
Long-tailed Triller,lottri1
White-shouldered Triller,whwtri2
White-winged Triller,whwtri1
Black-browed Triller,blbtri1
White-browed Triller,whbtri1
Varied Triller,vartri1
Mussau Triller,vartri3
Black-and-white Triller,bawtri1
White-rumped Triller,whrtri1
Pied Triller,pietri1
Rufous-bellied Triller,rubtri1
Reunion Cuckooshrike,reucus1
Mauritius Cuckooshrike,maucus1
Black-winged Cuckooshrike,bkwcus1
Black-headed Cuckooshrike,bkhcus1
Lesser Cuckooshrike,lescus1
Indochinese Cuckooshrike,indcus1
Pygmy Cuckooshrike,pygcus1
Halmahera Cuckooshrike,halcus1
Blue Cuckooshrike,blucus1
New Caledonian Cuckooshrike,neccus1
Blackish Cuckooshrike,blacus1
White-winged Cuckooshrike,whwcus1
Black-bellied Cicadabird,bkbcus2
Pale Cicadabird,pagcus1
Kai Cicadabird,kaicus1
Pale-shouldered Cicadabird,sumcus1
Black-bibbed Cuckooshrike,bkbcus1
Manus Cicadabird,mancic1
Makira Cicadabird,cicada7
Solomons Cuckooshrike,soicus1
Papuan Cicadabird,papcus1
Sulawesi Cicadabird,sulcus2
Sula Cicadabird,sulcus1
Common Cicadabird,cicada1
Gray-headed Cicadabird,gyhcus1
Black Cicadabird,negcus1
Black Sittella,blksit1
Varied Sittella,varsit2
Wattled Ploughbill,watplo1
Crested Shrike-tit,crstit1
Rusty Pitohui,ruspit1
White-bellied Pitohui,whbpit1
Little Shrikethrush,rufsht1
Sooty Shrikethrush,soosht1
Sandstone Shrikethrush,sansht2
Gray Shrikethrush,grysht1
Bower's Shrikethrush,bowsht1
Black Pitohui,blapit1
Sangihe Whistler,sansht1
Maroon-backed Whistler,mabwhi1
Olive Whistler,oliwhi1
Red-lored Whistler,relwhi1
Gilbert's Whistler,gilwhi1
Bare-throated Whistler,batwhi1
Fawn-breasted Whistler,fabwhi1
Regent Whistler,regwhi1
Vanuatu Whistler,necwhi2
Vogelkop Whistler,vogwhi1
Sclater's Whistler,sclwhi1
Fiji Whistler,fijwhi2
Samoan Whistler,samwhi1
Tongan Whistler,tonwhi1
New Caledonian Whistler,necwhi3
Guadalcanal Hooded Whistler,guhwhi1
Bougainville Hooded Whistler,bohwhi1
Bismarck Whistler,biswhi1
Louisiade Whistler,louwhi1
Temotu Whistler,temwhi1
Oriole Whistler,oriwhi1
Rennell Whistler,renwhi1
Rusty-breasted Whistler,rubwhi1
Yellow-throated Whistler,yetwhi1
Black-chinned Whistler,bkcwhi1
Baliem Whistler,golwhi2
Golden Whistler,golwhi1
Western Whistler,weswhi2
Black-tailed Whistler,bltwhi1
Morningbird,mornin1
Brown-backed Whistler,brbwhi1
Lorentz's Whistler,lorwhi1
Golden-backed Whistler,gobwhi1
Yellow-bellied Whistler,yebwhi1
Bornean Whistler,borwhi1
Sulphur-bellied Whistler,subwhi1
Mangrove Whistler,manwhi1
Green-backed Whistler,grbwhi1
White-vented Whistler,whvwhi1
Island Whistler,islwhi2
Rusty Whistler,ruswhi1
Gray Whistler,grywhi2
Wallacean Whistler,walwhi1
Drab Whistler,drawhi1
White-bellied Whistler,whbwhi1
Black-headed Whistler,blhwhi1
Rufous Whistler,rufwhi1
White-breasted Whistler,whbwhi2
Mottled Berryhunter,motwhi1
Crested Bellbird,crebel1
Rufous-naped Bellbird,runwhi1
Piping Bellbird,crepit1
Tiger Shrike,tigshr1
Bull-headed Shrike,buhshr1
Red-backed Shrike,rebshr1
Red-tailed Shrike,rutshr2
Isabelline Shrike,isashr1
Brown Shrike,brnshr
Burmese Shrike,burshr1
Emin's Shrike,emishr1
Bay-backed Shrike,babshr1
Long-tailed Shrike,lotshr1
Gray-backed Shrike,gybshr1
Gray-capped Shrike,gycshr1
Loggerhead Shrike,logshr
Great Gray Shrike,norshr1
Northern Shrike,norshr4
Southern Gray Shrike,sogshr2
Lesser Gray Shrike,legshr2
Chinese Gray Shrike,chgshr2
Gray-backed Fiscal,gybfis1
Long-tailed Fiscal,lotfis1
Taita Fiscal,taifis1
Somali Fiscal,somfis1
Mackinnon's Shrike,macshr1
Northern Fiscal,norfis1
Southern Fiscal,soufis1
Souza's Shrike,soushr3
Newton's Fiscal,newfis1
Masked Shrike,masshr1
Woodchat Shrike,wooshr1
Yellow-billed Shrike,yebshr1
Magpie Shrike,magshr1
White-rumped Shrike,whrshr1
White-crowned Shrike,whcshr1
Black-headed Shrike-Babbler,bhsbab1
Pied Shrike-Babbler,wbsbab2
Himalayan Shrike-Babbler,himshb1
Blyth's Shrike-Babbler,blyshb1
Dalat Shrike-Babbler,dalshb1
Green Shrike-Babbler,grsbab1
Black-eared Shrike-Babbler,besbab1
Trilling Shrike-Babbler,cfsbab1
Clicking Shrike-Babbler,clishb1
White-bellied Erpornis,whbyuh1
Rufous-browed Peppershrike,rubpep1
Black-billed Peppershrike,blbpep1
Gray-eyed Greenlet,gyegre1
Rufous-crowned Greenlet,rucgre1
Olivaceous Greenlet,oligre1
Ashy-headed Greenlet,ashgre1
Scrub Greenlet,scrgre1
Gray-chested Greenlet,gycgre1
Brown-headed Greenlet,brhgre1
Lemon-chested Greenlet,lecgre2
Chestnut-sided Shrike-Vireo,cssvir1
Green Shrike-Vireo,grsvir1
Yellow-browed Shrike-Vireo,ybsvir1
Slaty-capped Shrike-Vireo,scsvir1
Tawny-crowned Greenlet,tacgre1
Lesser Greenlet,lesgre1
Dusky-capped Greenlet,ducgre1
Buff-cheeked Greenlet,bucgre1
Golden-fronted Greenlet,gofgre1
Rufous-naped Greenlet,rungre1
Golden Vireo,golvir1
Blue Mountain Vireo,blmvir1
Slaty Vireo,slavir1
Black-capped Vireo,bkcvir1
Dwarf Vireo,dwavir1
White-eyed Vireo,whevir
Thick-billed Vireo,thbvir
Mangrove Vireo,manvir1
Cozumel Vireo,cozvir1
San Andres Vireo,stavir1
Jamaican Vireo,jamvir1
Cuban Vireo,cubvir1
Puerto Rican Vireo,purvir1
Flat-billed Vireo,flbvir1
Bell's Vireo,belvir
Gray Vireo,gryvir
Hutton's Vireo,hutvir
Yellow-throated Vireo,yetvir
Yellow-winged Vireo,yewvir1
Choco Vireo,chovir1
Cassin's Vireo,casvir
Blue-headed Vireo,buhvir
Plumbeous Vireo,plsvir
Tepui Vireo,tepgre1
Philadelphia Vireo,phivir
Warbling Vireo,warvir
Brown-capped Vireo,brcvir1
Red-eyed Vireo,reevir
Noronha Vireo,norvir1
Yellow-green Vireo,yegvir
Black-whiskered Vireo,bkwvir
Yucatan Vireo,yucvir
Hooded Pitohui,hoopit1
Variable Pitohui,varpit1
Timor Oriole,timori1
Buru Oriole,burori2
Tanimbar Oriole,burori3
Seram Oriole,serori1
Halmahera Oriole,halori1
Brown Oriole,broori1
Olive-backed Oriole,olbori1
Green Oriole,greori1
Dark-throated Oriole,datori1
White-lored Oriole,whlori1
Philippine Oriole,phiori1
Isabela Oriole,isaori1
Eurasian Golden Oriole,eugori2
Indian Golden Oriole,ingori1
African Golden Oriole,afgori2
Black-naped Oriole,blnori1
Slender-billed Oriole,slbori1
Green-headed Oriole,grhori1
Sao Tome Oriole,satori1
Western Black-headed Oriole,wbhori1
Ethiopian Black-headed Oriole,dahori1
African Black-headed Oriole,abhori1
Black-tailed Oriole,bltori1
Black-winged Oriole,blwori1
Black-hooded Oriole,blhori1
Black Oriole,blaori1
Black-and-crimson Oriole,bacori1
Maroon Oriole,marori2
Silver Oriole,silori1
Wetar Figbird,wetfig1
Green Figbird,grnfig1
Australasian Figbird,ausfig1
North Island Piopio,noipio1
South Island Piopio,soipio1
Square-tailed Drongo,sqtdro1
Shining Drongo,shidro1
Fork-tailed Drongo,fotdro1
Velvet-mantled Drongo,vemdro1
Aldabra Drongo,alddro1
Comoro Drongo,comdro1
Crested Drongo,credro1
Mayotte Drongo,maydro1
Black Drongo,bladro1
Ashy Drongo,ashdro1
White-bellied Drongo,whbdro1
Crow-billed Drongo,crbdro1
Bronzed Drongo,brodro1
Lesser Racket-tailed Drongo,lrtdro1
Hair-crested Drongo,hacdro1
Balicassiao,balica1
Sulawesi Drongo,suldro1
Sumatran Drongo,sumdro1
Wallacean Drongo,waldro1
Ribbon-tailed Drongo,ritdro1
Spangled Drongo,spadro1
Tablas Drongo,tabdro1
Andaman Drongo,anddro1
Greater Racket-tailed Drongo,grtdro1
Sri Lanka Drongo,srldro1
Pygmy Drongo-Fantail,papdro1
Taveuni Silktail,silkta2
Natewa Silktail,silkta3
Black Fantail,blafan1
Black-and-cinnamon Fantail,bacfan1
Mindanao Blue-Fantail,blufan1
Visayan Blue-Fantail,visblf1
Tablas Fantail,tabfan1
Visayan Fantail,visfan1
Blue-headed Fantail,blhfan1
Spotted Fantail,spofan1
Cinnamon-tailed Fantail,citfan1
Cockerell's Fantail,whwfan1
Northern Fantail,norfan1
Brown-capped Fantail,brcfan1
Sooty Thicket-Fantail,sotfan1
Black Thicket-Fantail,bltfan1
White-bellied Thicket-Fantail,wbtfan1
Willie-wagtail,wilwag1
Malaysian Pied-Fantail,piefan1
Philippine Pied-Fantail,phipif1
White-throated Fantail,whtfan1
Spot-breasted Fantail,spbfan1
Rufous-tailed Fantail,rutfan1
White-bellied Fantail,whbfan1
White-browed Fantail,whbfan2
Rufous-backed Fantail,rubfan1
Dimorphic Fantail,dimfan1
Bismarck Fantail,bisfan1
Mussau Fantail,matfan1
Malaita Fantail,malfan1
Rusty-bellied Fantail,ruffan2
Tawny-backed Fantail,cibfan1
Streak-breasted Fantail,stbfan1
Long-tailed Fantail,lotfan1
Palau Fantail,palfan1
Manus Fantail,manfan2
Rufous Fantail,ruffan1
Arafura Fantail,arafan1
Pohnpei Fantail,pohfan1
Friendly Fantail,frifan1
Chestnut-bellied Fantail,chbfan1
Brown Fantail,brofan1
Streaked Fantail,strfan1
Dusky Fantail,dusfan1
Rennell Fantail,renfan1
Kadavu Fantail,kanfan1
Samoan Fantail,samfan1
Gray Fantail,gryfan1
Mangrove Fantail,manfan1
New Zealand Fantail,nezfan1
Blue-capped Ifrita,bucifr1
Blue-headed Crested-Flycatcher,bhcfly1
African Crested-Flycatcher,afcfly1
Short-crested Monarch,shcmon1
Black-naped Monarch,blnmon1
Pale-blue Monarch,pabmon1
Celestial Monarch,celmon1
Cerulean Paradise-Flycatcher,cepfly1
Blue Paradise-Flycatcher,blpfly1
Rufous Paradise-Flycatcher,rupfly1
Japanese Paradise-Flycatcher,japfly1
Amur Paradise-Flycatcher,amupaf1
Blyth's Paradise-Flycatcher,blypaf1
Mascarene Paradise-Flycatcher,mapfly2
Indian Paradise-Flycatcher,aspfly1
Sao Tome Paradise-Flycatcher,stpfly1
Seychelles Paradise-Flycatcher,sepfly1
Madagascar Paradise-Flycatcher,mapfly1
Black-headed Paradise-Flycatcher,bhpfly1
Bedford's Paradise-Flycatcher,bepfly1
Rufous-vented Paradise-Flycatcher,rvpfly1
Bates's Paradise-Flycatcher,batpaf1
African Paradise-Flycatcher,afpfly1
Hawaii Elepaio,elepai
Kauai Elepaio,elepai5
Oahu Elepaio,elepai4
Tahiti Monarch,tahmon2
Maupiti Monarch,maumon1
Rarotonga Monarch,rarmon1
Eiao Monarch,eiamon1
Nuku Hiva Monarch,nuhmon1
Iphis Monarch,iphmon2
Ua Pou Monarch,uapmon1
Marquesas Monarch,marmon2
Fatuhiva Monarch,fatmon1
Ogea Monarch,ogemon1
Slaty Monarch,slamon1
Vanikoro Monarch,vanmon1
Buff-bellied Monarch,bubmon1
Southern Shrikebill,soushr2
Rennell Shrikebill,renshr1
Fiji Shrikebill,fijshr1
Black-throated Shrikebill,bltshr1
White-naped Monarch,whnmon1
Loetoe Monarch,loemon1
White-eared Monarch,whemon1
Golden Monarch,golmon1
Truk Monarch,trumon1
Yap Monarch,yapmon1
Tinian Monarch,tinmon1
Island Monarch,islmon1
White-capped Monarch,whcmon1
Chestnut-bellied Monarch,chbmon1
Bougainville Monarch,boumon1
Black-faced Monarch,blfmon1
Black-winged Monarch,blwmon1
Fantailed Monarch,blamon1
Rufous Monarch,rufmon1
Flores Monarch,flomon1
Black-chinned Monarch,blcmon1
Spectacled Monarch,spemon1
White-tailed Monarch,whtmon1
White-tipped Monarch,whtmon2
Black-tipped Monarch,bltmon2
Kofiau Monarch,blbmon1
Biak Monarch,biamon1
Hooded Monarch,hoomon1
Manus Monarch,manmon1
White-breasted Monarch,whbmon1
Black-tailed Monarch,bltmon1
Black-and-white Monarch,bawmon1
Kolombangra Monarch,kulmon1
Black-bibbed Monarch,blbmon2
White-collared Monarch,whcmon2
Spot-winged Monarch,spwmon1
Frilled Monarch,frimon1
Frill-necked Monarch,frnmon1
Ochre-collared Monarch,rucmon1
Pied Monarch,piemon1
Magpie-lark,maglar1
Torrent-lark,torlar1
Palau Flycatcher,palfly3
Guam Flycatcher,guafly1
Pohnpei Flycatcher,pohfly1
Oceanic Flycatcher,ocefly1
Biak Flycatcher,biafly1
Moluccan Flycatcher,molfly1
Leaden Flycatcher,leafly2
Steel-blue Flycatcher,stbfly1
Ochre-headed Flycatcher,ochfly1
Melanesian Flycatcher,melfly1
Vanikoro Flycatcher,vanfly1
Samoan Flycatcher,samfly1
Azure-crested Flycatcher,blcfly2
Chestnut-throated Flycatcher,chtfly1
Broad-billed Flycatcher,brbfly1
Satin Flycatcher,satfly1
Restless Flycatcher,resfly1
Paperbark Flycatcher,papfly1
Shining Flycatcher,shifly1
Dull Flycatcher,dulfly1
Crested Jay,crejay1
Black Magpie,blamag1
Siberian Jay,sibjay1
Sichuan Jay,sicjay1
Gray Jay,gryjay
White-throated Jay,whtjay1
Dwarf Jay,dwajay1
Black-throated Jay,bltjay1
Silvery-throated Jay,sitjay1
Azure-hooded Jay,azhjay1
Beautiful Jay,beajay1
Black-collared Jay,blcjay2
Turquoise Jay,turjay1
White-collared Jay,whcjay2
Black-throated Magpie-Jay,btmjay
White-throated Magpie-Jay,wtmjay1
Brown Jay,brnjay
Tufted Jay,tufjay1
Black-chested Jay,blcjay1
Green Jay,grnjay
Bushy-crested Jay,bucjay1
San Blas Jay,sabjay
Yucatan Jay,yucjay1
Purplish-backed Jay,pubjay1
Purplish Jay,purjay1
Azure Jay,azujay1
Violaceous Jay,viojay1
Curl-crested Jay,cucjay1
White-tailed Jay,whtjay2
Cayenne Jay,cayjay1
Azure-naped Jay,aznjay1
Plush-crested Jay,plcjay1
White-naped Jay,whnjay1
Pinyon Jay,pinjay
Steller's Jay,stejay
Blue Jay,blujay
Florida Scrub-Jay,flsjay
Island Scrub-Jay,issjay
California Scrub-Jay,cowscj1
Woodhouse's Scrub-Jay,wooscj2
Mexican Jay,mexjay4
Transvolcanic Jay,mexjay3
Unicolored Jay,unijay1
Eurasian Jay,eurjay1
Black-headed Jay,blhjay1
Lidth's Jay,lidjay1
Iberian Magpie,azwmag3
Azure-winged Magpie,azwmag2
Sri Lanka Blue-Magpie,ceymag1
Taiwan Blue-Magpie,formag1
Yellow-billed Blue-Magpie,gobmag1
Red-billed Blue-Magpie,rbbmag
White-winged Magpie,whwmag1
Common Green-Magpie,gremag1
Indochinese Green-Magpie,yebmag1
Javan Green-Magpie,shtmag1
Bornean Green-Magpie,borgrm1
Rufous Treepie,ruftre2
Gray Treepie,grytre1
Sumatran Treepie,sumtre1
Bornean Treepie,bortre1
White-bellied Treepie,whbtre1
Collared Treepie,coltre1
Andaman Treepie,andtre1
Racket-tailed Treepie,rattre1
Hooded Treepie,hootre1
Ratchet-tailed Treepie,rattre2
Eurasian Magpie,eurmag1
Black-billed Magpie,bkbmag1
Yellow-billed Magpie,yebmag
Stresemann's Bush-Crow,stbcro1
Mongolian Ground-Jay,mogjay1
Xinjiang Ground-Jay,xigjay1
Turkestan Ground-Jay,tugjay1
Iranian Ground-Jay,irgjay1
Clark's Nutcracker,clanut
Eurasian Nutcracker,eurnut1
Kashmir Nutcracker,sponut1
Red-billed Chough,rebcho1
Yellow-billed Chough,yebcho1
Piapiac,piapia1
Eurasian Jackdaw,eurjac
Daurian Jackdaw,daujac1
House Crow,houcro1
New Caledonian Crow,neccro1
Banggai Crow,bancro1
Slender-billed Crow,slbcro1
Piping Crow,pipcro1
Flores Crow,flocro1
Mariana Crow,marcro1
Long-billed Crow,lobcro1
Guadalcanal Crow,guacro1
Bougainville Crow,boucro1
Brown-headed Crow,brhcro1
Gray Crow,grycro1
Cape Crow,capcro2
Rook,rook1
American Crow,amecro
Northwestern Crow,norcro
Palm Crow,palcro2
Cuban Crow,cubcro1
White-necked Crow,whncro1
Jamaican Crow,jamcro1
Tamaulipas Crow,tamcro
Sinaloa Crow,sincro1
Fish Crow,fiscro
Hawaiian Crow,hawcro
Chihuahuan Raven,chirav
Carrion Crow,carcro1
Hooded Crow,hoocro1
Large-billed Crow,labcro1
Torresian Crow,torcro2
Bismarck Crow,torcro3
Little Crow,litcro1
Australian Raven,ausrav1
Little Raven,litrav1
Forest Raven,forrav1
Collared Crow,colcro1
Pied Crow,piecro1
Brown-necked Raven,brnrav1
Somali Crow,somcro2
Fan-tailed Raven,fatrav1
White-necked Raven,whnrav1
Thick-billed Raven,thbrav1
Common Raven,comrav
White-winged Chough,whwcho1
Apostlebird,apostl1
Paradise-crow,parcro1
Trumpet Manucode,truman1
Curl-crested Manucode,cucman1
Crinkle-collared Manucode,crcman2
Jobi Manucode,jobman1
Glossy-mantled Manucode,glmman2
King-of-Saxony Bird-of-Paradise,kospar1
Carola's Parotia,carpar1
Bronze Parotia,carpar3
Western Parotia,wespar1
Wahnes's Parotia,wahpar1
Lawes's Parotia,lawpar1
Twelve-wired Bird-of-Paradise,twwbop1
Black-billed Sicklebill,blbsic1
Pale-billed Sicklebill,pabsic1
Standardwing Bird-of-Paradise,walsta2
Vogelkop Superb Bird-of-Paradise,vosbop1
Greater Superb Bird-of-Paradise,grsbop1
Lesser Superb Bird-of-Paradise,lesbop1
Paradise Riflebird,parrif1
Victoria's Riflebird,vicrif1
Magnificent Riflebird,magrif3
Growling Riflebird,magrif2
Black Sicklebill,blasic1
Brown Sicklebill,brosic1
Long-tailed Paradigalla,lotpar1
Short-tailed Paradigalla,shtpar1
Splendid Astrapia,splast1
Arfak Astrapia,arfast1
Huon Astrapia,huoast1
Stephanie's Astrapia,prsast1
Ribbon-tailed Astrapia,ritast1
King Bird-of-Paradise,kbopar1
Wilson's Bird-of-Paradise,wbopar1
Magnificent Bird-of-Paradise,mbopar2
Blue Bird-of-Paradise,bbopar1
Emperor Bird-of-Paradise,ebopar1
Red Bird-of-Paradise,rbopar2
Goldie's Bird-of-Paradise,gbopar1
Lesser Bird-of-Paradise,lbopar1
Raggiana Bird-of-Paradise,rbopar1
Greater Bird-of-Paradise,gbopar2
Lesser Melampitta,lesmel1
Greater Melampitta,gremel1
Greater Ground-Robin,grgrob1
Lesser Ground-Robin,legrob1
Torrent Flycatcher,torfly1
Jacky-winter,jacwin1
Golden-bellied Flyrobin,gobfly2
Lemon-bellied Flycatcher,lebfly3
Yellow-legged Flycatcher,yelfly4
Olive Flyrobin,olifly3
Papuan Flycatcher,canfly2
Garnet Robin,garrob1
Subalpine Robin,alprob1
Snow Mountain Robin,snmrob1
Pacific Robin,scarob1
Scarlet Robin,scarob2
Tomtit,tomtit1
Red-capped Robin,recrob1
Flame Robin,flarob1
Rose Robin,rosrob1
Pink Robin,pinrob1
New Zealand Robin,nezrob1
Chatham Robin,charob1
Hooded Robin,hoorob1
Dusky Robin,dusrob1
White-faced Robin,whfrob1
Pale-yellow Robin,payrob1
Eastern Yellow Robin,yelrob1
Western Yellow Robin,gybrob1
Yellow-bellied Robin,yebrob1
White-breasted Robin,whbrob1
Mangrove Robin,manrob1
Black-chinned Robin,blcrob1
Black-sided Robin,blsrob2
White-browed Robin,whbrob2
Buff-sided Robin,busrob1
Olive-yellow Robin,olyrob1
Black-throated Robin,bltrob1
White-winged Robin,whwrob2
Smoky Robin,smorob2
White-rumped Robin,whrrob2
Blue-gray Robin,bugrob1
Ashy Robin,gyhrob1
Gray-headed Robin,gyhrob2
Green-backed Robin,grbrob1
White-eyed Robin,wherob1
Papuan Scrub-Robin,papscr2
Northern Scrub-Robin,nosrob1
Southern Scrub-Robin,sosrob1
White-necked Rockfowl,whnroc1
